FSA,LATITUDE,LONGITUDE
K0A,45.2701014628169,-75.69670477140845
K0B,45.51097768421052,-74.70650942105263
K0C,45.151281547450985,-74.88922847764705
K0E,44.72390148147059,-75.70432473558824
K0G,44.86603243653846,-76.02049922269231
K0H,44.5959838,-76.73916760385966
K0J,45.631418372115384,-77.34332283923077
K0K,44.19465558089888,-77.44646886516854
K0L,44.57271996102273,-78.1423257234091
K0M,44.74990562477273,-78.72902952477273
K1A,45.40993030529802,-75.69696086490066
K1B,45.422807281059065,-75.59398767189408
K1C,45.464610714737375,-75.53096254858586
K1E,45.473497797996,-75.50551125571143
K1G,45.39432596075607,-75.6347363488749
K1H,45.38790708190045,-75.65845397948718
K1J,45.44477675887446,-75.60833452092352
K1K,45.43781436361556,-75.64708411441649
K1L,45.4383886904376,-75.66154681993517
K1M,45.44558340490654,-75.67976239158878
K1N,45.42448047219251,-75.68778566751337
K1P,45.39132204429224,-75.74133376666667
K1R,45.41094081024209,-75.70620414078212
K1S,45.39994461637427,-75.68970085760233
K1T,45.34676079493724,-75.62764992062762
K1V,45.350021469801554,-75.67066656660914
K1W,45.436006578064514,-75.5266594483871
K1X,45.292720017293234,-75.64178899398496
K1Y,45.398121542315785,-75.73118202472514
K1Z,45.385825413031164,-75.73978134560906
K2A,45.378383113227514,-75.76389005952382
K2B,45.36210165263952,-75.78975957375566
K2C,45.35939252990654,-75.74036239319092
K2E,45.34801812064847,-75.71727450085325
K2G,45.331501488018795,-75.74680208645263
K2H,45.33218252464903,-75.81466315544303
K2J,45.27479923453292,-75.75177440957121
K2K,45.33494581243145,-75.91153780182816
K2L,45.30045552541437,-75.88798586924494
K2M,45.28866562411505,-75.85973260066372
K2P,45.416088223660715,-75.69102977700892
K2R,45.280321509836064,-75.80871025737704
K2S,45.26204531609712,-75.91764820420863
K2T,45.31520089139786,-75.92670101559139
K2V,45.28770667405063,-75.89968757088607
K2W,45.36175368870968,-75.96885054516129
K4A,45.46972015,-75.47822106443965
K4B,45.40512402071428,-75.38267070357143
K4C,45.49464244375,-75.3930808109375
K4K,45.543653389090906,-75.29740489662338
K4M,45.22555986525821,-75.67592096244131
K4P,45.25236534528302,-75.57239366100629
K4R,45.253012981666664,-75.37720955333333
K6A,45.604007578435116,-74.60327959572518
K6H,45.028115738461544,-74.71467287508362
K6J,45.0233554585698,-74.74927519148696
K6K,45.06026468192771,-74.76794816566266
K6T,44.6062797,-75.76344905882354
K6V,44.59597488254799,-75.69378402408377
K7A,44.899198698156916,-76.0169865686426
K7C,45.14096372974588,-76.16838428165184
K7G,44.330175977578946,-76.16457540210527
K7H,44.90919785084428,-76.23993714896811
K7K,44.24788710127878,-76.48518116581415
K7L,44.231782577399755,-76.49586155176185
K7M,44.23816197559682,-76.55841193129973
K7N,44.22302698976744,-76.64660117767441
K7P,44.262156505858584,-76.56786179919192
K7R,44.2467839242807,-76.95504386754385
K7S,45.43417712407733,-76.35742196362038
K7V,45.46935768698413,-76.68790730111111
K8A,45.8126900618272,-77.12360876628895
K8B,45.806870509999996,-77.088715685
K8H,45.84793466023857,-77.29869724075547
K8N,44.16536860153217,-77.39290413820224
K8P,44.16998861826809,-77.39937891316727
K8R,44.14344281724138,-77.45417423793104
K8V,44.10655473759058,-77.57956106259057
K9A,43.968724795279385,-78.17381791599229
K9H,44.31751002265339,-78.32230697368128
K9J,44.29242508544034,-78.33129582086647
K9K,44.2867478592068,-78.36469446940511
K9L,44.330139502654866,-78.30066890530972
K9V,44.35782959814814,-78.74091776910332
L0A,44.112835415384616,-78.5100720923077
L0B,44.084312753846156,-78.8004397923077
L0C,44.18025033333333,-79.09980833333333
L0E,44.28305876923077,-79.3090806153846
L0G,44.0494453,-79.62875852380952
L0H,43.92103342857143,-79.18993114285715
L0J,43.831219000000004,-79.66857250000001
L0K,44.67528632068965,-79.53996470000001
L0L,44.42979866444445,-79.73807804805556
L0M,44.34226022724138,-79.9879201424138
L0N,44.0445671726087,-80.16209248782609
L0P,43.59545475,-79.9332255
L0R,43.21744809275363,-79.75956239710146
L0S,43.02859474473684,-79.19382882894737
L1A,43.954413418446606,-78.31045686148867
L1B,43.96518369108871,-78.7011667475
L1C,43.92221004331014,-78.69000882041763
L1E,43.90523678631791,-78.7936285750503
L1G,43.91652332178295,-78.86335614945736
L1H,43.90330488205128,-78.86248473981107
L1J,43.89519896332831,-78.90543099126506
L1K,43.93217587612457,-78.84523382128029
L1L,43.9483133051948,-78.88994194805194
L1M,43.9584051184573,-78.96283393746556
L1N,43.88138995123763,-78.93395473712872
L1P,43.89923483421927,-78.97342952524917
L1R,43.91240113362218,-78.939670589948
L1S,43.84130331594982,-79.02188528064517
L1T,43.87072595839018,-79.04606021268758
L1V,43.8323369615222,-79.11115312346723
L1W,43.81826050919118,-79.09208182794117
L1X,43.86123539596978,-79.12270501435768
L1Y,43.956336004081635,-79.08831925306123
L1Z,43.87267897981928,-79.01068313373494
L2A,42.90814322885572,-78.93611840338308
L2E,43.10432621353791,-79.0850436433213
L2G,43.07385927790783,-79.0872893987564
L2H,43.090145345739906,-79.12939464185352
L2J,43.12624055364741,-79.10558847917933
L2M,43.19602327048,-79.21853270951999
L2N,43.194087777145285,-79.25099360059474
L2P,43.15384309422383,-79.21444809458484
L2R,43.167009191674374,-79.24398235226643
L2S,43.14642765899654,-79.25953621972319
L2T,43.13402347001795,-79.22615565008977
L2V,43.1161763970297,-79.20836029876239
L2W,43.16624659285714,-79.27689846071429
L3B,42.98316824605128,-79.24070911907693
L3C,43.00031986511241,-79.26406909725229
L3J,43.17011902559242,-79.46553021232226
L3K,42.89146732034261,-79.25430846488223
L3L,43.85834968571429,-79.58256940238095
L3M,43.1960302540632,-79.55842628340858
L3P,43.87986921319218,-79.26328049454398
L3R,43.84953105105673,-79.32582830984427
L3S,43.84346374153401,-79.27102128205499
L3T,43.820289950935,-79.39590671157615
L3V,44.61195369381985,-79.40401949677843
L3X,44.041374771923074,-79.47431877019231
L3Y,44.058616670954066,-79.45805881427562
L3Z,44.10183590239899,-79.5649247104798
L4A,43.98970822722008,-79.28220032905405
L4B,43.855386150696376,-79.40075612493037
L4C,43.87058451484611,-79.43887300102595
L4E,43.93420856,-79.45523861171053
L4G,43.99762699496904,-79.4663474633127
L4H,43.82537415910088,-79.59525538552631
L4J,43.81011047904143,-79.45090964305443
L4K,43.80891372528474,-79.50690280387244
L4L,43.79290186048225,-79.57970989330208
L4M,44.39955441394511,-79.67397760355918
L4N,44.36902701623124,-79.69489511628682
L4P,44.22111649995522,-79.46450121704477
L4R,44.74730958350665,-79.88351314652962
L4S,43.925748798771494,-79.5244992904177
L4T,43.71608847770035,-79.64342662404182
L4V,43.6981035,-79.62002595630253
L4W,43.635651056185566,-79.61819326610825
L4X,43.61760550872274,-79.58130743613708
L4Y,43.60352881922456,-79.59406247948304
L4Z,43.61401391718464,-79.64705543948813
L5A,43.587133705967446,-79.60736744484629
L5B,43.57716214333333,-79.6304587042029
L5C,43.56352999535256,-79.65055105192307
L5E,43.58398998943662,-79.56420896244131
L5G,43.56355655310651,-79.58276327825443
L5H,43.540805165901645,-79.61275545016393
L5J,43.517459551407406,-79.63232149674074
L5K,43.53008059193549,-79.6629780316129
L5L,43.53701150976693,-79.6923275500555
L5M,43.56778110131483,-79.71691813652302
L5N,43.5873406437014,-79.75617378724728
L5P,43.69038954545454,-79.623774
L5R,43.60409290358362,-79.66944418105801
L5S,43.68014736223776,-79.6741750881119
L5T,43.656195147976874,-79.66877379624277
L5V,43.59549154268585,-79.69151608417266
L5W,43.632535019742484,-79.7182226223176
L6A,43.86652252727173,-79.52711697327832
L6B,43.880649491843975,-79.2456175322695
L6C,43.8883612140033,-79.33643790593081
L6E,43.89767801598916,-79.26829987344173
L6G,43.85033687530864,-79.33132011851852
L6H,43.4792049453697,-79.70251420595837
L6J,43.46861272242525,-79.65988696004983
L6K,43.438345156020944,-79.68561632216405
L6L,43.407303539282346,-79.71001885420208
L6M,43.44142696409227,-79.74115114312939
L6P,43.7823155129227,-79.69976275628018
L6R,43.77620865758434,-79.79949079360324
L6S,43.73351005768025,-79.73280719874609
L6T,43.716710445990564,-79.6996130495283
L6V,43.70395011707718,-79.76097968308703
L6W,43.67924843603744,-79.73606314430577
L6X,43.67974968085572,-79.78531522125373
L6Y,43.65802997319408,-79.7529495994778
L6Z,43.72626466050671,-79.79313206870343
L7A,43.70088903508772,-79.82645853839009
L7B,43.94992463453608,-79.55477961804124
L7C,43.79331731867322,-79.87080818584766
L7E,43.89310809523809,-79.7591761738649
L7G,43.64814514948646,-79.90936964360411
L7J,43.63176765235602,-80.0329850895288
L7K,43.87432092410148,-79.99987580190275
L7L,43.37469551389338,-79.76008797802908
L7M,43.37882965572609,-79.81394384486423
L7N,43.34719206174089,-79.77847323360324
L7P,43.35176434633028,-79.83822318669725
L7R,43.335975187737226,-79.7994645709489
L7S,43.32460004743083,-79.8073872083004
L7T,43.30997259266348,-79.84281684274323
L8B,43.34153230606061,-79.93852751680441
L8E,43.23257395824435,-79.71995403070842
L8G,43.21861285127176,-79.74665840722892
L8H,43.24757043040482,-79.79492292962962
L8J,43.18880733117547,-79.77030296473595
L8K,43.227288255676214,-79.79968587324777
L8L,43.25904433593109,-79.84452219040197
L8M,43.24628423537415,-79.83649967619047
L8N,43.25121912334153,-79.86219665135135
L8P,43.253552675770926,-79.88270525976506
L8R,43.262345318158566,-79.8746302938619
L8S,43.25777362503888,-79.91667331850701
L8T,43.22072591604938,-79.83030079245542
L8V,43.227860795994275,-79.84868675178826
L8W,43.20032865277778,-79.84937564962964
L9A,43.230445656499995,-79.869247765
L9B,43.205901254,-79.895980349
L9C,43.23125125933978,-79.90305964605476
L9E,43.65613367787356,-80.05144286350576
L9G,43.21999731296534,-79.98177339370989
L9H,43.27132633602694,-79.95668256607745
L9J,44.35031652413793,-79.67152322051724
L9K,43.228893428813564,-79.93972895536723
L9L,44.09359439852321,-78.97447479729958
L9M,44.77837000368,-79.94885122837333
L9N,44.10314782423208,-79.4933144453925
L9P,44.09483337766323,-79.14205118762887
L9R,44.15132348580822,-79.85231123336986
L9S,44.32735034230769,-79.579014003125
L9T,43.51596744755078,-79.86924571427718
L9V,44.28717151432471,-81.37231341418104
L9W,43.917234054726734,-80.1057393929099
L9X,44.44349443641026,-79.78028240641027
L9Y,44.49257083389433,-80.22517629766145
L9Z,44.49524920597015,-80.04510148294244
M1B,43.80596826355654,-79.2063648475302
M1C,43.78735546325225,-79.15431877618438
M1E,43.765573501140686,-79.19034763067174
M1G,43.76832373307393,-79.21735950350194
M1H,43.76665849381188,-79.2385790720297
M1J,43.74623449270386,-79.23608622167382
M1K,43.7294273689295,-79.26342480065274
M1L,43.708564180180176,-79.28460087342343
M1M,43.72625052669105,-79.23158481755027
M1N,43.69591021161179,-79.26460202807625
M1P,43.75987210547945,-79.27039210780822
M1R,43.74780733035496,-79.30470507074664
M1S,43.793305209523815,-79.26988371463415
M1T,43.78143936731518,-79.30367467529183
M1V,43.816871190049746,-79.28219620584576
M1W,43.799605555090906,-79.32071266636363
M1X,43.82680039270386,-79.22269795364807
M2H,43.80133386311301,-79.35925969275053
M2J,43.78047642746667,-79.34879520146667
M2K,43.777389001776655,-79.38298766345177
M2L,43.75302966704545,-79.38007257357954
M2M,43.791252649838185,-79.41102697508092
M2N,43.768338631666666,-79.40840615074075
M2P,43.74945417462686,-79.39871673383084
M2R,43.77835330170132,-79.44095024801513
M3A,43.753338772727275,-79.32836884567101
M3B,43.74503159498861,-79.35852430842826
M3C,43.7280705075188,-79.34414182612782
M3H,43.751557673311545,-79.4460517275599
M3J,43.761645508011696,-79.48914655054581
M3K,43.73369490044445,-79.46980834711111
M3L,43.73521465673077,-79.51002876089743
M3M,43.72951409681372,-79.49398608872549
M3N,43.75587519217392,-79.51865898898551
M4A,43.72762668291815,-79.31178233274021
M4B,43.70700646651376,-79.30673446513761
M4C,43.69047457741176,-79.31241311411766
M4E,43.67819081109057,-79.29509512458411
M4G,43.707295428825624,-79.36881987206405
M4H,43.704792589156625,-79.34627492289157
M4J,43.68582331716621,-79.33685048242506
M4K,43.68019148229927,-79.35134207390512
M4L,43.670699222382666,-79.31726729927799
M4M,43.66225229741936,-79.34420512838709
M4N,43.72660529104477,-79.39440928294243
M4P,43.710300280061354,-79.39035148435583
M4R,43.718157192444444,-79.41300840355557
M4S,43.702953679838714,-79.3877688077957
M4T,43.68877512437276,-79.38745827849462
M4V,43.685949210086456,-79.4028584631124
M4W,43.677578951162786,-79.38106118372093
M4X,43.668074291875,-79.369627170625
M4Y,43.67027865575221,-79.37900715840708
M5A,43.65588610786207,-79.3649526577931
M5B,43.659019012376234,-79.37868654752475
M5C,43.65172793764706,-79.37485632588235
M5E,43.649041815447156,-79.3771701097561
M5G,43.65651145508982,-79.38658945808383
M5H,43.64967514362416,-79.38452606174496
M5J,43.64237811818182,-79.37934507545455
M5K,43.6478967,-79.40186380588236
M5L,43.658953603448275,-79.39846513448276
M5M,43.73169078106417,-79.41785801095462
M5N,43.711102718207286,-79.4187523092437
M5P,43.69634790786517,-79.4122162694382
M5R,43.67367530179372,-79.40216997780269
M5S,43.66411115079787,-79.39913016382978
M5T,43.6534194625,-79.39793653063725
M5V,43.6447872082087,-79.3961190238087
M5W,43.648133536006824,-79.37460591962457
M5X,43.648544893939395,-79.38173551818181
M6A,43.722715677297295,-79.44447858054055
M6B,43.70779049655172,-79.44434667982759
M6C,43.69141413598553,-79.43039392983725
M6E,43.68833385832168,-79.44912232041958
M6G,43.66796020195036,-79.42065067411347
M6H,43.66501994684975,-79.43641279483036
M6J,43.648891168401484,-79.41610942509294
M6K,43.6422906956,-79.4280903832
M6L,43.71335076009974,-79.48785666733167
M6M,43.69251260581242,-79.48030560277411
M6N,43.675876454000004,-79.47832780386666
M6P,43.661130496575346,-79.4616951525685
M6R,43.64681854813829,-79.44904405
M6S,43.65362960977337,-79.48380957450425
M7A,43.66396489333333,-79.39180858833333
M7R,43.63653206666667,-79.61637066666667
M7Y,43.664916,-79.31339654028434
M8V,43.60729882661996,-79.49943932556918
M8W,43.60069758989899,-79.53733193391054
M8X,43.65268228588235,-79.51024132764705
M8Y,43.63397961770657,-79.49735959460371
M8Z,43.629603161731495,-79.51770547967378
M9A,43.66550576,-79.52611183159236
M9B,43.652632377755104,-79.55215839387755
M9C,43.64499600636704,-79.57398525642947
M9L,43.75801373922155,-79.55935752095807
M9M,43.734696752105265,-79.53972054736842
M9N,43.7066548430303,-79.51640291131314
M9P,43.692928338877756,-79.53081066953908
M9R,43.68824250853659,-79.55626585226481
M9V,43.74252566047121,-79.58449427054974
M9W,43.718345284007704,-79.57967779836224
N0A,42.868902047096775,-80.04632363387097
N0B,43.52065579807017,-80.46657751666667
N0C,44.26533180733334,-80.47250734733333
N0E,42.891567316129034,-80.4191917967742
N0G,43.99892563763889,-81.03513370930555
N0H,44.58981630921875,-81.105351959375
N0J,43.018607502777776,-80.68837024166666
N0K,43.49963156085714,-81.10957462542858
N0L,42.80417064716981,-81.35011917547169
N0M,43.31734094393939,-81.5115111378788
N0N,42.975255874285715,-82.11278022285714
N0P,42.40049048244445,-82.22871076377778
N0R,42.152759481481475,-82.79320948148148
N1A,42.9051942832419,-79.61658016334165
N1C,43.49745607636364,-80.23392548181819
N1E,43.56160365241542,-80.24334543285602
N1G,43.520432893341706,-80.23081019660805
N1H,43.53980441070054,-80.26130928752887
N1K,43.52970473497537,-80.29013342364533
N1L,43.515771880082994,-80.19216128589211
N1M,43.705568254972874,-80.37745969981917
N1P,43.346501608860756,-80.29059492151899
N1R,43.36505988462121,-80.30730307272728
N1S,43.35346178335128,-80.32862091777928
N1T,43.391912371167884,-80.2900067970803
N2A,43.44028623213213,-80.43226224564565
N2B,43.460057747047614,-80.45146881085714
N2C,43.42383957002967,-80.4535075454006
N2E,43.41214094401197,-80.49324142380239
N2G,43.44618522354949,-80.49009526075085
N2H,43.45561583402985,-80.48457626268657
N2J,43.47099461931818,-80.51291579105113
N2K,43.4949896954955,-80.49809430285285
N2L,43.47043115339147,-80.53945670658915
N2M,43.43790134345238,-80.50972413214286
N2N,43.42370231178948,-80.53877001684211
N2P,43.39980865414634,-80.4210473704878
N2R,43.395491516013074,-80.47245725947712
N2T,43.453419812,-80.56432481428573
N2V,43.49101125978261,-80.56043863423913
N2Z,44.17402811825613,-81.63231030517711
N3A,43.385012171598746,-80.69860021786835
N3B,43.59447076026749,-80.56322805257201
N3C,43.42884360180451,-80.30711172541353
N3E,43.42059974,-80.356877958
N3H,43.39557692289442,-80.35446397390272
N3L,43.23527152341772,-80.40599707468354
N3P,43.18442698032787,-80.23580469071038
N3R,43.16784402478363,-80.26891793343825
N3S,43.13907754082748,-80.244188090242
N3T,43.14030124668483,-80.27190740672117
N3V,43.164085691228074,-80.29790209298245
N3W,43.095715475578636,-79.88324740670623
N3Y,42.83805521544471,-80.30537998432692
N4B,42.848509930279896,-80.49217289694657
N4G,42.86553624520857,-80.73066714284104
N4K,44.56978302313364,-80.94115508995392
N4L,44.60422779272727,-80.6009141139394
N4N,44.15141745347999,-81.02446046482001
N4S,43.13200245715308,-80.7508728362661
N4T,43.14879968992032,-80.73592684936254
N4V,43.11394467236842,-80.74127716447367
N4W,43.73309205459559,-80.95489365110294
N4X,43.269764377966105,-81.12766952881356
N4Z,43.36542113030303,-80.98738997727273
N5A,43.369284237788015,-80.9801742671275
N5C,43.03783172897822,-80.8833051035176
N5H,42.77300473226601,-80.98445443546798
N5L,42.6776018675,-81.20672152
N5P,42.786917268633545,-81.18509500108696
N5R,42.76866356548324,-81.17948250660748
N5V,43.01060146383812,-81.17741601814622
N5W,42.99045170682736,-81.1946202413565
N5X,43.03491952633053,-81.25523208473389
N5Y,43.013358075813954,-81.22780833255814
N5Z,42.9704372947651,-81.20835402442952
N6A,42.99380062964232,-81.25357240132638
N6B,42.984099573975904,-81.23802321373495
N6C,42.96097327682119,-81.24328352924945
N6E,42.93337838984962,-81.22556403928571
N6G,43.0078274847282,-81.29964911915897
N6H,42.98091201555312,-81.29886239364731
N6J,42.957337794617565,-81.27325570226628
N6K,42.95243233723964,-81.32518414355081
N6L,42.901728114117645,-81.2569164117647
N6M,42.962904816,-81.16289693
N6N,42.907433028318586,-81.1922496761062
N6P,42.917607142307695,-81.29972479999999
N7A,43.740601743492064,-81.7087433332381
N7G,42.95670153208723,-81.62335883691588
N7L,42.41403917961494,-82.19968123152859
N7M,42.398394038851016,-82.17824719542357
N7S,42.98657136793207,-82.3634904919081
N7T,42.97276479203688,-82.39069921852473
N7V,43.000703780897005,-82.39036585880399
N7W,42.973268063571425,-82.33132529380953
N7X,43.02247416530612,-82.31422494489796
N8A,42.59504453928956,-82.38705988342303
N8H,42.04600198402948,-82.59993967764127
N8M,42.1719675095238,-82.82347351619048
N8N,42.31257642050633,-82.87864219746835
N8P,42.325361893577984,-82.90991177431192
N8R,42.30621799173228,-82.91470060905512
N8S,42.33002763029412,-82.9482782307353
N8T,42.30532293978948,-82.95274980778947
N8V,42.26432615555555,-82.94797846666667
N8W,42.2908934,-82.98751360278422
N8X,42.29617325690377,-83.01815130739192
N8Y,42.31853736416185,-82.99345992601155
N9A,42.313729606960166,-83.03098078340672
N9B,42.299197505555554,-83.05311626904762
N9C,42.290719980608365,-83.07038252357415
N9E,42.26541823547009,-83.02592568703705
N9G,42.249996849061034,-82.99697056338027
N9H,42.238263253808356,-83.03149213660933
N9J,42.23226912565138,-83.08530316326605
N9K,42.29687583709678,-82.88216028548386
N9V,42.106277024745765,-83.10288445559323
N9Y,42.04181494029851,-82.71948951127695
P0A,45.56169790370371,-79.3581536
P0B,45.146739493333335,-79.46887797999999
P0C,45.08059588571429,-79.75428342857143
P0E,44.84724341,-79.44467491
P0G,45.685216914,-80.229161787
P0H,46.301483372641506,-79.60784814018868
P0J,47.583401640000005,-79.903736028
P0K,48.32743817821428,-80.24929155107144
P0L,50.196109263,-81.99689763900001
P0M,46.8346348938806,-81.70049478119402
P0N,48.56104416666667,-81.11534208333333
P0P,45.92306178818182,-82.20831292409092
P0R,46.2836639375,-83.3586271875
P0S,47.31057495384616,-84.43463875384616
P0T,49.56634967735294,-88.59581652867647
P0V,51.525652537313434,-91.86267125955223
P0W,48.741435666875,-94.03207280812501
P0X,49.66997106823529,-94.36990244647059
P0Y,49.785726,-95.116774
P1A,46.29124944164038,-79.43159217460568
P1B,46.31971870821918,-79.45899553607306
P1C,46.34095527036036,-79.43592851918919
P1H,45.32778216555891,-79.21916569758308
P1L,45.04376098169935,-79.31483739803922
P1P,44.92072468229665,-79.37178497033494
P2A,45.34862690742574,-80.02873428663366
P2B,46.36648966178343,-79.92600889464968
P2N,48.14854575736961,-80.03297518367347
P3A,46.519531762882096,-80.9452651349345
P3B,46.49263503080725,-80.95412444728171
P3C,46.494136890802466,-81.00599401191359
P3E,46.466962728027866,-80.9988839801179
P3G,46.418739896039604,-80.99111367227722
P3L,46.55676090413793,-80.87135698
P3N,46.60835684285714,-81.00619753571428
P3P,46.648302940983605,-80.96219458688525
P3Y,46.42389213583333,-81.13212657916667
P4N,48.478036089069946,-81.33689665053804
P4P,48.46383791428571,-81.36981245714286
P4R,48.47539387692308,-81.37654691282052
P5A,46.37783116123853,-82.65096322339448
P5E,46.251372752592594,-81.77320736296296
P5N,49.416658027628365,-82.41610775599021
P6A,46.51348880169332,-84.30215311147695
P6B,46.52478822222222,-84.31463312612613
P6C,46.53558415515409,-84.36755222454836
P7A,48.46010870515007,-89.19152812575034
P7B,48.43060504579256,-89.2449703481409
P7C,48.3910072626575,-89.26341133379152
P7E,48.37430439020368,-89.27736353501454
P7G,48.49305568237219,-89.28934687521473
P7J,48.32821268346369,-89.37112449849161
P7K,48.37141769621952,-89.38525889825203
P7L,48.17920948863637,-89.548290575
P8N,49.78079761764706,-92.83400878188235
P8T,50.09733861282051,-91.9132581474359
P9A,48.61200729201613,-93.3977424376613
P9N,49.77252341010279,-94.47958429016153
